tag_name,tag_type,is_array,array_size,array_start_index,array_end_index,dimensions
CT_Time,DATETIME_TYPE,0,,,,-
CurrentUserName,STRING,0,,,,-
CURRENT_PHASE,DINT,0,,,,-
Current_Step,DINT,0,,,,-
Cutter_Safety_Curtain_Timer,TIMER,0,,,,-
Cycle_Complete,BOOL,0,,,,-
Cycle_Complete_Aux,BOOL,0,,,,-
Cycle_Complete_Latch,BOOL,0,,,,-
Cycle_Time,TIMER,0,,,,-
CYCLE_TIME_ARRANGE,CONTROL,0,,,,-
CYCLE_TIME_ASCENDING_ORDER,DINT,1,30,0,29,30
Cycle_Time_History,DATETIME_TYPE,1,100,0,99,100
Cycle_Time_History_1,DINT,1,100,0,99,100
CYCLE_TIME_MOVE,TIMER,0,,,,-
Cycle_Time_Ph10,TIMER,0,,,,-
Cycle_Time_Ph11,TIMER,0,,,,-
Cycle_Time_Ph12,TIMER,0,,,,-
Cycl_Stp_FS,COUNTER,0,,,,-
C_CarcassRemoval,REAL,0,,,,-
C_Count,DINT,0,,,,-
C_CR,DINT,0,,,,-
C_DATA_1,CONTROL,0,,,,-
C_DATA_2,CONTROL,0,,,,-
C_DATA_3,CONTROL,0,,,,-
C_DATA_4,CONTROL,0,,,,-
C_DATA_5,CONTROL,0,,,,-
C_DATA_6,CONTROL,0,,,,-
C_DATA_7,CONTROL,0,,,,-
C_DATA_8,CONTROL,0,,,,-
c_Maintenance,DINT,0,,,,-
c_Manual,DINT,0,,,,-
c_Produce,DINT,0,,,,-
C_SHIFT,STRING,0,,,,-
C_SHIFT_DATA_1,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_2,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_3,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_4,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_5,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_6,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_7,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATA_8,PROD_DATA_V1,1,100,0,99,100
C_SHIFT_DATE_CAPTURE,BOOL,0,,,,-
C_Start,BOOL,0,,,,-
C_Stop,BOOL,0,,,,-
C_Time,REAL,1,13,0,12,13
C_Trial,REAL,1,3315,0,3314,13 x 255
C_Tyre,COUNTER,0,,,,-
DataLog_control,CONTROL,0,,,,-
data_chk,CONTROL,0,,,,-
data_Log,DINT,0,,,,-
Data_Log_Timer,TIMER,0,,,,-
DD,BOOL,0,,,,-
Delay_Timer,TIMER,0,,,,-
DINT,DINT,1,10,0,9,10
DISKSTITCHER_MAX_TQ,REAL,0,,,,-
DISKSTITCHER_MIN_TQ,REAL,0,,,,-
DISKSTITCHER_TQ_FB,REAL,0,,,,-
DISKSTITCHER_TQ_RESET,BOOL,0,,,,-
Disk_Stitcher:S,AB:MOTION_DIAGNOSTICS:S:1,0,,,,-
Disk_Stitcher_Hi_Pr,TIMER,0,,,,-
Disk_Stitcher_Set_Pressure,REAL,0,,,,-
DI_230VSuply_AC1_On_Fb,BOOL,0,,,,-
DI_230VSuply_AC2_On_Fb,BOOL,0,,,,-
DI_230VSuply_SW_Heater_OK_MCB,BOOL,0,,,,-
DI_230VSuply_ToolHeater_OK_MCB,BOOL,0,,,,-
DI_230VSuply_Ultrasonic_Knife_MCB,BOOL,0,,,,-
DI_24VSuply_PC_On_Fb,BOOL,0,,,,-
DI_24VSuply_RIO10_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO11_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO12_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO4_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO5_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO6_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO7_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO8_OP_OK_MCB,BOOL,0,,,,-
DI_24VSuply_RIO9_OP_OK_MCB,BOOL,0,,,,-
DI_24VSupply_EL_System,BOOL,0,,,,-
DI_24VSupply_Laser_Light,BOOL,0,,,,-
DI_24VSupply_RIO2_OP_OK_MCB,BOOL,0,,,,-
DI_24VSupply_RIO3_OP_OK_MCB,BOOL,0,,,,-
DI_415VSuply_ILLetOff_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_P1Knife_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_P1LetOff_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_P2Knife_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_P2LetOff_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_P3Knife_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_P3LetOff_OK_MPCB,BOOL,0,,,,-
DI_415VSuply_SWLet_Off_OK_MPCB,BOOL,0,,,,-
DI_415V_P1_BlowerOK_MPCB,BOOL,0,,,,-
DI_415V_P2_BlowerOK_MPCB,BOOL,0,,,,-
DI_415V_P3_BlowerOK_MPCB,BOOL,0,,,,-
DI_AutoStop_IFS,BOOL,0,,,,-
DI_ControlON_ICT,BOOL,0,,,,-
DI_HP_Air_IPS,BOOL,0,,,,-
DI_HS_Bead_Centering_Collapsed_1,BOOL,0,,,,-
